prot	pepSeqNum	tgNum	guot_L130410_034_SW
P55957	1	2	11821
P15941	1	1	26440
Q9Y2S7	5	5	50721
Q9H6Z4	1	1	32426
Q9Y6M9	3	3	53505
Q969X1	1	1	19161
P35221	20	22	128410
Q92947	8	10	61465
O75717	1	1	209096
Q9H9S4	1	1	21563
Q8IWE2	3	3	52647
P46781	8	8	242251
P01625	2	2	120129
Q14694	1	1	44911
O95810	9	10	65339
O00468	25	29	305777
Q969V6	1	1	10391
Q99627	3	3	43836
Q9NQC3	4	4	173377
P05387	7	10	504435
P02679	16	23	249318
Q8NCN5	6	6	114957
Q8NFW8	3	3	25615
Q6PGP7	1	1	5315
P46926	5	6	108373
Q9NTX5	7	7	57113
P83731	3	3	139041
Q02083	1	1	17030
Q9P2E9	31	34	387157
P35659	2	2	61816
Q9Y3A5	2	2	101617
Q96R05	2	2	28232
Q96AE4	7	7	154896
Q16222	5	5	81740
Q9UFN0	6	7	71791
Q9NVH6	1	1	28430
P61758	2	2	27184
Q14847	11	11	322696
P01861	2	3	85852
Q16798	3	3	9020
P03886	1	1	16831
O14933	2	2	53577
P31948	17	17	197430
P47914	2	2	96260
Q08623	1	1	10565
P61081	3	3	72809
Q86TI2	1	1	9032
Q9H4A6	1	1	9983
P20933	3	3	38726
Q13501	4	4	39607
P18669	6	9	451262
P47756	8	8	234268
P20962	5	7	154814
P09496	4	4	197085
P14927	6	7	314649
P46779	3	3	128233
O14880	1	1	16099
P37840	3	4	53959
Q06210	5	5	87075
P63172	1	1	16999
Q9NPF4	1	1	30109
Q14978	2	2	44316
Q99426	4	4	72544
Q92530	3	3	86851
O15212	3	3	49792
P41240	2	2	50788
Q14244	2	2	241646
P00915	15	24	158807
P53999	2	2	275925
Q96FF7	1	1	8490
P39687	3	3	239185
P15880	7	7	244831
Q14767	1	1	31595
Q9BSH4	3	3	77801
Q562R1	3	4	2191945
Q6UWM9	4	4	44743
Q9ULH4	1	1	7319
Q9NRX2	1	1	20873
Q8N8N7	7	7	77068
P09601	3	3	39356
P08311	2	2	63957
O75534	2	2	29287
P51397	1	1	24493
Q9NUM4	1	1	20378
Q9BUL8	2	2	117897
Q6UB99	1	1	78499
P05109	1	1	64621
P08581	1	1	13231
Q6IN84	1	1	7417
P82980	4	5	98081
P33316	2	2	13148
Q07075	7	7	43664
Q3ZCQ8	5	5	57924
P49593	4	4	56306
O75191	2	2	47387
Q9NVI7	2	2	22151
Q8TDQ7	1	1	11992
Q01844	2	2	101735
Q99735	1	1	7798
P05062	19	29	113431
Q00577	6	7	104925
P20472	6	6	71253
Q8N0W3	2	2	21062
Q14112	19	26	185966
P10619	3	3	49649
P05107	2	2	36342
P35268	2	2	219381
P13489	5	6	204161
Q7L099	1	1	34690
Q9BV40	2	2	41931
Q8N1G4	8	9	141339
P00167	5	9	196934
Q13867	2	2	102956
Q14117	6	8	183618
Q53GQ0	4	4	151490
Q14728	1	1	3572
P30837	20	25	222179
P02741	4	5	413600
Q9UJZ1	12	15	51992
Q96C90	2	2	17481
P24311	1	1	10505
P08473	23	25	126212
P14618	35	54	2191482
Q8WX93	6	6	183115
Q05519	1	1	14621
Q9NUP9	1	1	29769
Q96Q06	37	39	71675
Q7LFX5	1	1	9323
Q9UNZ2	10	12	102206
Q9Y399	1	1	3598
P08572	6	7	146092
P22830	6	7	88832
Q9NY15	3	3	41998
O43760	2	2	80187
P22352	8	10	275209
P26639	7	8	80164
O60568	15	21	111240
P22105	14	14	233146
Q9NR30	1	1	17991
Q9H993	1	1	16751
P80748	1	1	28522
P61970	2	2	203708
P40939	38	51	432785
P05093	3	3	21749
Q9NTJ4	2	2	27168
P12236	1	1	153628
Q07021	9	11	122156
Q9H8L6	6	6	42181
Q9H0E2	6	6	65155
Q86SX6	1	1	24901
P06681	2	2	49137
Q8TE77	1	1	19037
Q6I9Y2	1	1	78582
P59998	5	5	318936
P04424	11	12	91650
O14980	2	2	11106
Q8N573	1	1	9449
P07451	4	4	40123
Q9Y265	9	10	170909
P07902	1	1	14086
Q17RC7	1	1	84431
P23368	3	3	155400
P16435	6	6	54884
P82914	1	1	30100
P26885	2	2	110265
Q9BXN1	7	8	122258
Q9NYK5	1	1	21637
Q15056	3	3	136877
Q9P015	3	3	34743
Q8NFH5	1	1	7650
Q9NZD4	2	2	26512
Q6NY19	2	2	12597
P39656	6	6	696621
Q9UIJ7	16	19	139291
Q9BXS5	5	5	43664
P61163	4	7	153562
O00244	1	1	76874
Q93100	1	1	40334
P19367	15	16	203119
P07942	31	36	181435
Q9UHX1	4	4	69426
P14635	1	1	21013
Q5VYK3	2	2	15238
Q9NVJ2	4	4	61523
P04179	18	32	2021399
Q9BZZ5	5	6	65404
O75251	3	3	70003
Q9NVZ3	3	3	81027
Q9UDY2	1	1	2115
P51178	1	1	32431
Q9C0C9	1	1	18963
P07357	2	2	41145
Q09028	2	2	112915
P53618	8	9	154615
O60669	1	1	3053
P27348	6	8	237161
P48751	1	1	40106
O75380	4	4	46392
P21291	9	10	120783
Q93091	1	1	14852
Q9UBT2	1	1	56960
Q8N0X7	1	1	8449
Q9BUH6	1	1	42770
Q16270	3	4	69281
P29622	1	1	13367
P12955	13	14	148598
Q08AH3	6	9	152908
O95861	2	2	65484
Q15349	1	1	108020
Q96FQ6	2	2	19536
O60547	1	1	11245
Q96KN1	5	5	93032
P35442	5	5	93323
Q10713	4	4	55392
Q9NRG7	3	4	30734
Q9NR64	1	1	9801
Q9UBC2	3	3	25557
P62750	3	3	219560
Q658N2	1	1	5803
Q13268	12	16	101316
Q15848	1	1	8155
Q14980	8	8	53253
Q5RKV6	1	1	6791
P51570	9	9	93908
Q12905	9	9	272178
P06331	1	1	36320
A3KMH1	13	13	57548
P56182	1	1	156837
Q9ULP9	2	2	48188
P31150	7	8	80422
P15144	36	41	83873
P00751	16	17	214328
P99999	9	12	152477
P04083	19	27	287867
P13761	1	1	12997
P62158	9	11	651900
Q9BXJ9	1	1	115809
P02511	16	25	1881829
Q96CS3	2	2	46802
P36955	12	12	138868
Q15119	2	2	19120
P57764	3	3	76584
Q6XQN6	11	11	60449
P61960	4	5	130411
Q9Y5B9	1	1	2332
P49458	2	2	144304
Q92616	19	21	146003
P46977	1	1	54724
P48723	1	1	45509
Q15642	1	1	24531
O75396	7	7	102972
Q9BSE5	9	12	128276
P51649	9	11	44048
Q99471	2	2	25483
P10768	8	10	164275
Q9H9P8	4	4	64893
Q6NUM9	2	2	24672
Q9NXA8	2	2	13118
Q8N5G0	1	1	29293
P49321	2	2	45460
P01877	1	1	23964
P09467	13	19	115530
Q16822	26	34	74180
Q9H0R4	3	3	29633
Q9UDX5	4	4	80015
O43488	6	7	171353
P37108	5	6	126801
Q08379	1	1	11608
Q08AM6	6	6	57545
O43598	4	5	99731
O15382	11	13	106620
Q01105	8	9	308603
Q9Y547	2	2	32054
P01024	77	101	542467
P12268	5	5	130228
P27824	16	21	350115
Q15262	2	2	58964
Q12768	2	2	26028
P49821	10	11	118367
Q9H2G2	2	2	17887
P40925	13	16	419087
O95777	3	3	139556
P04843	19	20	175281
Q8IXI1	2	2	76050
Q9BS40	2	2	56213
P22695	17	26	186444
Q9HB07	2	2	75940
Q9Y6M1	1	1	6161
Q9UJU6	8	8	88079
P62263	4	4	133226
Q9H0A0	1	1	7479
Q14192	2	2	79914
O75911	1	1	22175
P31946	6	9	394335
P50416	4	4	35740
Q5T3F8	1	1	1280060
P05141	3	3	174499
P30566	4	4	70407
P61769	2	2	52779
Q14344	2	2	24818
P60842	7	7	356257
Q9NTG7	2	2	31860
P00492	7	7	93332
Q96L92	3	3	73286
O00203	11	11	241686
Q9BXW7	1	1	24849
O00161	1	1	15819
Q969G5	4	4	77061
Q16795	10	11	87649
P35232	16	21	636584
P17252	4	4	56395
P61981	8	11	317409
B1AJZ9	2	2	186285
Q9P2T1	1	1	51629
P02144	2	2	25900
O14979	3	3	159728
P15291	1	1	15670
Q13162	7	8	167339
Q6PKG0	1	1	1995
P10644	8	8	100183
P62877	1	1	37253
O75110	2	2	14526
Q9NZI5	1	1	8764
P56537	4	4	228225
P09669	2	2	118908
P49411	18	25	492632
P06132	1	1	4391
P02747	4	5	276197
P30520	1	1	20111
P17844	8	8	150903
Q9Y230	9	9	176772
Q9BWX5	1	1	33205
P55884	8	8	99134
P26583	2	2	84803
Q02127	7	7	63223
O95822	9	9	73115
P30622	4	4	52525
P05023	19	25	124385
Q9BY44	1	1	24609
P67809	5	5	21586
P06737	14	17	110710
O15143	5	6	152302
Q96DG6	10	13	262119
P62820	6	7	62874
Q99807	1	1	10527
Q8N3K9	1	1	42191
P23528	5	6	707889
Q01432	1	1	3315
Q8WUH6	2	2	59054
P00367	14	19	332263
P04207	1	1	5457
Q9Y6R1	8	8	80962
Q03519	1	1	19528
Q9ULH7	1	1	66554
P02654	3	3	80752
P35606	14	15	153390
Q96C23	7	8	183352
Q6GMV3	2	2	82575
P84085	2	2	22367
Q93050	6	7	62002
Q7Z7H5	1	1	21589
O75525	2	2	270935
Q16851	17	19	230270
O95202	9	9	52199
Q96KP1	2	2	131626
P02655	3	3	57977
P56385	4	4	166844
P25311	7	10	82780
P78347	3	3	50135
P50995	14	15	239489
Q9UKF6	1	1	22574
P36542	13	16	210113
P05362	7	7	157760
Q9UPQ9	1	1	7543
Q9C0J9	1	1	149721
Q5T7N2	1	1	207780
O43776	7	7	96535
P52907	4	5	245534
O75489	14	16	113611
P19525	3	3	32786
Q9UKK9	3	3	103847
Q9BRF8	7	7	84167
Q9H061	1	1	29793
Q9UL46	11	15	289233
Q92597	10	16	128740
Q9UBX3	6	6	80457
Q9H1C7	1	1	26153
P34932	14	15	105669
Q13113	2	3	32724
Q8IVH4	2	2	29684
P04233	3	3	54538
Q9BWM7	5	5	43748
P08727	20	27	148385
P02768	49	71	8902900
P12270	5	5	35960
Q9H0N5	2	2	69744
Q13510	12	13	151679
P19440	2	2	154445
Q15257	5	6	131447
Q9UHD9	1	1	4058
P26447	3	3	189890
P23141	6	6	49553
O00442	2	2	30357
O76074	1	1	152133
Q96NB2	8	8	255052
Q15911	2	2	285541
Q969E2	1	1	10088
P16662	5	6	92334
P48556	3	3	106374
P55209	3	4	113454
Q13131	2	2	76047
P04216	2	2	108400
O15305	3	3	103801
Q07955	7	7	286654
Q14106	1	1	12636
Q9UNF0	5	7	91867
Q15819	1	1	2364
O60469	1	1	40451
O95817	2	2	71423
O95674	1	1	820
Q9H910	2	2	87598
O75356	8	8	70666
Q13630	4	4	97950
Q02818	7	7	108180
O00560	2	2	16817
P54920	8	8	125918
Q9H0U4	1	1	17917
O14936	5	5	36830
O95352	1	1	34444
P51688	2	2	48927
O14787	1	1	3836
O75643	6	6	44183
Q9UKS6	1	1	9658
P54687	1	1	25767
Q9Y2R9	1	1	26351
Q14151	1	1	32663
P21926	3	3	73497
Q9P0L0	2	3	204953
Q16718	4	6	73022
Q15691	5	6	204234
O14579	4	4	54627
Q9UJC5	1	1	47629
P28676	3	3	95708
P15559	3	3	118082
Q13148	6	6	102077
P02462	2	3	99787
Q13469	1	1	36313
P23526	13	15	235823
O43295	1	1	34840
Q9UM22	1	1	34071
Q53HC9	1	1	18020
Q99538	2	4	50395
P02730	15	19	30873
Q9UBV8	2	2	42053
Q9H832	1	1	9231
P30050	3	4	246282
P68402	2	3	163352
P43490	14	14	264648
P41222	3	4	36931
Q01658	1	1	36498
Q9UHD2	1	1	17088
P38646	33	43	641582
O14737	4	5	151183
O15173	4	4	104093
Q8NBF2	2	2	35061
O00763	3	3	15815
Q9NUB1	8	8	59255
Q14498	2	2	42529
P30049	4	7	163732
O75494	2	2	62523
Q9BUT1	6	7	125289
O60234	1	1	24989
Q86U28	3	3	58068
Q92542	2	2	34236
Q9BWW8	1	1	55994
Q7L1Q6	2	2	51971
P35251	1	1	63534
P11166	2	2	47999
Q15293	9	9	153275
O95298	1	1	54464
O15229	1	1	19642
Q16836	17	23	125599
P57088	1	1	34827
O60888	2	3	108034
Q92841	9	9	167017
P34949	7	7	81745
P46063	5	5	109980
Q15555	1	1	13035
P09211	11	19	679799
Q9Y276	4	4	36854
Q9NPJ3	3	4	89533
Q9HDC9	10	10	115063
P08758	19	24	1317556
Q6UVK1	3	3	54957
Q99424	5	5	57687
P51665	4	5	80186
P23246	10	10	159227
Q96T51	2	2	8520
P01042	7	9	408376
P25685	4	4	88927
Q9NP72	3	3	111915
Q5XKP0	1	1	6938
Q13838	3	3	106106
P42025	4	4	40043
O60884	6	6	98160
Q9UKM9	5	5	199260
Q9BXD5	4	4	36416
P62745	1	1	6134
Q5T6V5	2	2	37702
Q99459	3	3	105427
P22061	6	6	155987
Q96C19	6	6	157959
Q15404	10	12	182794
Q8ND30	1	1	2041
Q13825	7	7	108756
P11177	13	16	100189
Q9BX68	5	8	137094
Q8TCT9	1	1	58845
Q99747	2	2	35343
Q9NQR4	9	9	98944
P07196	1	1	8544
Q9NR50	1	1	33537
Q8WTV0	1	1	21675
Q5QP74	1	1	34344
O75964	4	5	111308
P17152	1	1	9405
P12429	14	15	421207
Q96CD0	1	1	10963
P07686	11	14	132466
Q15286	2	2	29061
Q01469	4	4	224657
P07203	7	7	238089
Q32MZ4	7	7	62872
P62304	1	1	8549
Q9Y2Q3	11	14	93309
P52815	4	4	67844
P50053	6	8	185149
Q9BTM9	1	1	13327
Q8NEZ5	1	1	19394
O43747	8	9	139225
Q13151	5	5	89188
P30047	2	2	25812
Q96GK7	3	4	55909
P61421	6	6	95736
Q16890	2	2	27479
Q9BYE9	5	5	47702
P15311	25	34	346774
P02649	16	19	136016
O75936	11	12	79023
Q9NPB9	1	1	22089
Q9BVA1	1	1	23640
Q8N4H5	1	1	3786
Q9Y2Z9	3	3	74341
P23946	3	3	32901
P47895	3	3	20544
P55081	1	1	5788
P43487	3	3	124088
P14550	13	17	365449
P51970	3	3	54143
Q53GG5	1	1	67713
P09972	9	10	1980348
P07305	7	8	109065
P05165	31	36	145975
Q8WZA2	1	1	20889
Q92734	8	8	110169
O75475	3	3	57063
P34913	11	11	133855
P08579	1	1	5761
P46940	35	37	149050
Q9H0D6	1	1	7194
Q8N142	11	12	94713
Q15006	1	1	7216
P25789	6	6	225199
P62899	3	3	76832
Q9NQH7	1	1	31177
P06744	21	34	498877
P19224	4	4	116287
P27487	17	19	201017
P14625	29	37	1553213
P25788	6	6	141866
P04844	11	13	113815
Q9UGI8	4	4	65074
Q96NG3	1	1	60865
O00533	1	1	59913
P22087	3	4	221578
P48449	1	1	19726
Q12906	12	14	226486
Q9UJ68	5	5	52510
P61009	3	3	106282
O43390	5	5	179611
P49903	1	1	8671
Q9GZS3	2	2	19506
P01598	1	1	41900
Q8IWW8	1	1	21868
P49748	33	39	144318
Q96IZ0	1	1	9300
P61160	8	9	132060
Q9BYD3	3	3	41779
Q9H078	3	3	33973
Q9BXK5	6	6	27926
P54578	7	7	154639
P08603	7	8	105020
Q96PU8	2	2	68706
A0MZ66	1	1	19277
P19404	6	7	131411
Q9Y5J6	1	1	930
P60228	5	5	124534
P27449	1	1	35081
P06730	3	3	43473
Q8NE86	3	3	115094
Q9Y5Y6	1	1	50525
Q15833	2	3	26617
P62857	5	5	282986
P16422	1	1	9932
P02786	8	8	88419
Q9Y584	1	1	18441
Q27J81	6	6	20406
P43243	12	13	122100
Q9C040	5	5	48463
Q92538	1	1	4430
P0C0L4	2	2	81846
Q9NZL4	1	1	23733
Q9Y597	1	1	2322
Q96EY7	2	2	61337
P24821	43	54	286744
Q9Y6Y8	5	5	54280
O95865	8	10	247301
Q9BXX0	2	2	72626
Q8N5M1	5	5	41084
Q9HC38	9	10	164926
Q13217	2	2	41942
Q13185	3	3	100241
Q9UPN3	1	1	21603
P67775	1	1	19126
Q70UQ0	6	6	68804
Q9BZF9	1	1	8495
P18754	1	1	32534
P52594	1	1	49315
O95831	28	34	120075
P15104	2	2	55603
P05413	7	9	219776
Q9BRQ6	1	1	540
Q9NRV9	7	9	164354
O60656	1	2	46368
Q5HYI8	2	2	129577
P32969	4	5	211619
Q15717	7	7	112927
P28062	4	5	162889
Q14008	1	1	10864
P02750	8	9	143936
O94925	16	18	182940
P55290	4	4	86251
P07099	11	11	132556
Q16864	6	8	160250
P11940	1	1	107204
Q14061	1	1	15501
Q92552	6	6	37389
Q9Y6K5	1	1	14448
Q9Y2T3	22	26	63376
P19022	1	1	6964
Q13884	6	7	85963
Q9BTZ2	2	2	54899
P26440	13	15	258337
P05090	4	4	113376
Q9NQ50	1	1	12749
Q14258	3	3	26656
Q15036	1	1	21460
Q9H3P7	1	1	8586
P62266	5	5	74452
P31942	6	8	66715
P33151	1	1	4359
Q9BWD1	2	2	99230
Q9UI08	1	1	5808
P23919	2	2	80009
P78344	1	1	15217
Q9H553	1	1	17050
Q9Y624	2	2	22800
Q8IW45	3	3	53290
P35222	8	8	47702
Q9BSA4	1	1	151724
O95786	1	1	7394
P01781	2	2	104839
Q13561	12	14	173608
Q99439	2	3	64986
Q969I3	4	4	41670
Q8NFD5	1	1	15823
P48444	9	10	118765
O75674	1	1	13687
O95222	1	1	16690
Q99653	2	2	56582
Q99685	3	4	58919
Q9Y2R0	3	3	65404
P22059	6	6	56622
Q14155	1	1	96600
P46782	4	4	102484
Q96RP9	6	6	85617
Q00765	3	4	64108
P09525	28	39	866396
P54619	4	4	90836
O75438	1	1	31976
P49247	1	1	40649
P24539	15	19	154154
Q9NNW7	7	7	54776
P49720	3	5	122955
Q8NCW6	1	1	15469
Q9Y5Z4	6	6	136223
O60613	1	1	9162
O95232	1	1	13952
Q15493	1	1	6381
Q96EL3	1	1	6842
O00217	5	5	123221
Q8N0X4	11	11	69294
P49590	2	2	41326
P33992	1	1	14720
Q9BQG0	1	1	23767
Q6JQN1	5	5	24802
Q96F07	1	1	81707
P51648	7	8	49494
Q02878	11	14	372415
Q13596	6	6	58830
P43155	9	9	74584
P19827	13	15	478668
P33240	2	2	136959
Q14019	8	9	293405
Q96BW5	7	7	46831
P01619	1	1	35772
Q9P2J5	14	14	100476
Q96PK6	2	2	27664
P48426	1	1	7658
Q8ND07	1	1	9146
P10109	2	2	38668
Q9NZ08	7	7	111455
Q13084	1	1	6161
O15400	3	3	51959
P43897	5	5	71749
Q99729	3	3	119370
Q9H477	5	5	96567
O76070	3	3	67518
P31937	12	16	176712
P63173	3	3	156472
P61086	1	1	50492
P31947	1	1	33277
P04632	6	7	120662
P10636	9	11	42874
P12074	2	4	46146
Q3LXA3	18	25	50676
P51398	2	2	29429
P41250	9	10	93858
Q86Y56	1	1	4158
Q9NPH2	5	5	253882
P24158	3	3	144891
P30043	8	10	195571
Q8N5N7	4	4	127973
Q9Y2Z0	2	2	53371
Q8IY17	1	1	30548
P62280	4	4	553866
Q13976	1	1	2951
Q9UHG3	12	14	122851
P00738	10	13	393427
P78417	9	9	245531
O75844	1	1	1720
P46776	2	2	250314
P08236	5	5	72797
O75880	3	3	66681
P07384	20	20	124772
P08397	1	1	2283
Q14956	4	4	111008
Q13425	1	1	16672
Q96QF0	1	1	15397
O00264	5	5	71350
Q16587	1	1	149953
P55769	3	4	272012
Q86TI0	1	1	1821
Q9BXR0	1	1	25045
Q9NSE4	18	19	88923
Q15031	3	3	58226
Q96T76	1	1	3360
Q9UQ90	1	1	17972
O14874	2	2	74564
O43237	7	7	73505
P50148	1	1	5184
P08575	1	1	27961
P39210	1	1	4556
P13671	3	4	99166
P07911	12	13	175333
Q9BSH5	6	7	167588
P09668	4	5	140903
Q9Y4G6	8	8	57703
Q13188	1	1	7355
Q9H4G0	7	7	68026
Q9Y619	3	3	32270
Q9GZP8	1	1	2206
P23434	1	1	41880
O00479	1	1	9288
Q96IX5	3	3	65266
O43708	1	1	7132
O75521	9	11	68560
P82664	1	1	31801
P82933	1	1	21422
O94903	4	4	87573
Q9NSY0	2	2	25918
Q15435	6	7	106381
P08865	9	11	364030
Q10567	13	13	342069
O94826	6	7	157562
P54802	4	4	34120
O60902	1	1	71727
P25398	2	2	188521
O95373	1	1	48863
Q8NC56	2	2	19395
Q8WWY3	1	1	34647
Q96M27	4	5	56960
Q8TD55	2	2	57522
P09914	1	1	35449
P62913	2	3	216260
P20810	5	5	93726
Q6UWR7	3	3	28078
Q8WW52	3	4	62779
P61225	1	1	8993
P53992	5	5	27536
P14314	10	10	142834
O00748	11	15	118594
P23378	6	6	70778
Q96Q11	1	1	19402
Q9Y281	1	2	23296
P05156	4	4	113230
P26640	11	11	93528
O00469	17	21	246558
Q15185	3	3	304742
Q8NBF6	1	1	40918
P56556	4	4	59631
Q8WTS1	1	1	12285
P09110	10	12	68508
Q15327	1	1	4829
P36873	2	2	82392
Q9UHQ9	4	4	113070
P00352	24	35	429126
P04406	31	48	4580990
P27635	1	1	19987
P55327	9	11	97485
O14975	6	6	42730
Q15582	20	27	610085
P45954	13	18	92044
Q92900	3	3	33113
O00754	2	2	31093
P07108	5	8	150126
P11766	11	16	247209
P35813	2	2	47785
P27105	6	6	45448
P50570	3	3	139384
P12110	17	20	598533
Q9Y6C9	6	8	108450
Q02928	5	5	48388
Q9BW92	3	3	78920
P20774	10	12	217194
P68371	2	2	598427
Q07866	1	1	24574
Q00839	11	14	351880
O15061	1	1	4451
Q9BQA1	1	1	32942
Q9NQW7	6	6	65630
Q92665	1	1	10828
P46109	2	2	78752
O14529	1	1	35794
Q93009	3	3	34154
P56181	1	1	22462
Q96F10	1	1	49332
Q15027	1	1	53251
P05546	7	7	46237
P26373	7	7	240042
Q00169	1	1	24043
Q9Y237	1	1	7718
P05230	1	1	4933
Q05469	11	11	200706
P49419	23	28	198764
O76038	9	10	59020
P50395	15	17	491685
P21283	11	13	65525
Q08257	19	27	462075
P51161	3	3	82732
Q9H2A2	5	6	44439
P13010	15	16	312771
O95182	3	3	74321
P62241	5	5	174284
Q14573	1	1	8627
Q99436	3	3	114774
